latitude,longitude,Number of Parks found,Distance to Closest Park
43.70942,-79.39139,5,139.0
43.671389,-79.382919,7,107.0
43.671561,-79.38117,5,230.0
43.693256,-79.383238,3,43.0
43.65412449999999,-79.4636388,5,286.0
43.680207,-79.339243,4,135.0
43.6589882,-79.438715,4,82.0
43.6741219,-79.4352208,4,147.0
43.6469928,-79.3706665,9,292.0
43.683884,-79.36647,4,124.0
43.6578449,-79.3899265,1,245.0
43.6477785,-79.3847928,10,213.0
43.6856128,-79.31168269999999,3,325.0
43.681944,-79.390556,5,185.0
43.64534,-79.409597,7,143.0
43.6393107,-79.4408141,3,90.0
43.68306889999999,-79.279682,2,76.0
43.6626628,-79.3323698,3,92.0
43.681114,-79.3373885,4,288.0
43.638925,-79.4168659,8,133.0
43.676216,-79.309395,2,447.0
43.656633,-79.379625,7,225.0
43.686962,-79.286864,0,
43.718039,-79.371914,0,
43.672152,-79.39018,9,129.0
43.673019,-79.467994,2,128.0
43.72268,-79.37644,1,275.0
43.6504218,-79.4407647,9,130.0
43.68850459999999,-79.3940052,1,274.0
43.641705,-79.393295,9,274.0
43.647663,-79.487583,3,120.0
43.720998,-79.377456,1,140.0
43.72814640000001,-79.4032194,2,163.0
43.652327224103,-79.3882538196087,7,209.0
43.6438602,-79.4227573,5,111.0
43.64920406876699,-79.49336334201408,2,45.0
43.6503935,-79.3860211,10,81.0
43.6399714,-79.39940399999999,8,226.0
43.68827060022711,-79.43937767081853,1,359.0
43.6614605,-79.37894570000002,10,250.0
43.69413548199171,-79.30058718775287,3,236.0
43.7254665,-79.40115449999999,3,289.0
43.7083577,-79.39886200000001,6,146.0
43.63840090000001,-79.4197107,5,225.0
43.7027268,-79.33368089999999,3,114.0
43.70567,-79.310554,0,
43.635,-79.4088888888889,5,284.0
43.656784782853144,-79.35627385059036,8,95.0
43.732016,-79.403637,2,266.0
43.67468857448634,-79.36701962396272,1,282.0
43.727365488246306,-79.3814254607724,1,322.0
43.6846177,-79.39245919999999,3,369.0
43.77345,-79.5002,0,
43.686442,-79.313404,2,298.0
43.66402799999999,-79.40297869999999,10,114.0
43.65049,-79.3873,8,107.0
43.64134790000001,-79.4013882,9,153.0
43.64215,-79.377,8,100.0
43.6392777,-79.4115736,9,8.0
43.645102,-79.39744979999999,6,70.0
43.6602021,-79.4342726,5,22.0
43.644887,-79.45641169999999,2,148.0
43.680012,-79.34403250000001,4,259.0
43.637381,-79.406112,6,112.0
43.63811,-79.397877,10,97.0
43.64957,-79.432446,0,
43.6700692,-79.2971326,6,125.0
43.6559476,-79.37558829999999,3,28.0
43.6677628,-79.30811709999999,5,316.0
43.6750806,-79.3068697,1,541.0
43.6754247,-79.4547813,5,50.0
43.6409957,-79.40966630000001,10,81.0
43.6593483,-79.34993659999999,7,68.0
43.67168,-79.421192,3,321.0
43.652634,-79.374222,8,142.0
43.6613642,-79.3641171,4,182.0
43.6808774,-79.3304491,5,267.0
43.6623658,-79.3413344,10,70.0
43.6791345,-79.3263159,8,54.0
43.6478206,-79.3704721,9,232.0
43.635495,-79.40352209999999,9,111.0
43.6868681,-79.3110942,5,395.0
43.678177,-79.435364,3,260.0
43.6962302,-79.39504339999999,4,140.0
43.667076,-79.425116,4,322.0
43.68005,-79.43469,3,405.0
43.675648,-79.4527619,6,21.0
43.6677246,-79.4041365,8,82.0
43.648437,-79.39838,6,120.0
43.6673,-79.374,7,124.0
43.6517925,-79.38269509999999,10,163.0
43.6372958,-79.4423237,3,176.0
43.6554793,-79.4302462,1,148.0
43.686352,-79.415894,4,191.0
43.6442457,-79.41610440000001,6,49.0
43.7741,-79.5005,1,483.0
43.683979,-79.410657,4,68.0
43.6472019,-79.3953394,4,275.0
43.6513927,-79.35794659999999,6,363.0
43.6647688,-79.3772602,9,195.0
43.6506,-79.381285,10,124.0
43.6408346,-79.3429074,3,74.0
43.6585504,-79.4497659,3,302.0
43.6484201,-79.40051919999999,6,138.0
43.693187,-79.314283,4,406.0
43.6425791,-79.40011729999999,10,44.0
43.6469251,-79.3733192,10,194.0
43.6463574,-79.391206,6,278.0
43.6682342,-79.3702641,6,248.0
43.6791876,-79.39071899999999,8,277.0
43.674446,-79.398331,4,296.0
43.6658804,-79.38761010000002,10,45.0
43.68035,-79.28357,2,363.0
43.6535052,-79.3667689,4,333.0
43.702418581463505,-79.2563167072858,2,230.0
43.68824135931814,-79.27046628033244,1,369.0
43.691688,-79.265027,1,450.0
43.697490048103,-79.25655146462776,4,75.0
43.69401297794256,-79.26257204548136,1,133.0
43.6929478,-79.28339980000001,1,337.0
43.6950192,-79.27180659999999,1,31.0
43.69263249999999,-79.4627536,0,
43.7105975,-79.2541175,2,124.0
43.69415,-79.45782580000001,1,407.0
43.70163,-79.44099,2,355.0
43.688028,-79.460265,2,100.0
43.68323,-79.455765,1,478.0
43.69466,-79.45376999999999,1,489.0
43.6784834,-79.3513564,5,130.0
43.65016869999999,-79.4963345,2,296.0
43.6492,-79.50601999999999,0,
43.6897656,-79.2939525,5,286.0
43.6357643,-79.4674917,4,161.0
43.62369169999999,-79.4838132,1,459.0
43.648657,-79.458111,1,356.0
43.671293,-79.380471,5,292.0
43.699327072589426,-79.4493630391668,2,279.0
43.63560589999999,-79.4934616,2,387.0
43.7611741,-79.5114452,0,
43.7603624,-79.5162777,0,
43.62313,-79.4918,1,281.0
43.772445,-79.511912,1,525.0
43.653359,-79.365023,5,192.0
43.70643614257429,-79.25104443353288,2,393.0
43.655972,-79.370638,1,371.0
43.641952,-79.380723,10,145.0
43.646552,-79.399586,9,114.0
43.6591529,-79.3947953,3,189.0
43.659055,-79.440764,3,132.0
43.669576,-79.375961,4,123.0
43.706466,-79.29511,1,514.0
43.646314469245205,-79.44879407014527,4,380.0
43.65222662225532,-79.32295440954084,1,52.0
43.66526761605873,-79.47502122887077,3,66.0
43.66554144421798,-79.41010317605742,9,7.0
43.77649016265579,-79.5085364909097,1,238.0
43.655431,-79.380653,7,151.0
43.65351799690878,-79.38591063795928,6,113.0
43.59119994025076,-79.54449133041076,3,217.0
43.6544839,-79.34105699999999,2,263.0
43.65082785552666,-79.39698099821702,5,252.0
43.673843560032594,-79.46092618902435,2,216.0
43.647508351306186,-79.38604436555764,9,158.0
43.71513211098082,-79.33413623320465,1,250.0
43.71649675774656,-79.33089439933623,4,444.0
43.715537998967406,-79.32811427663442,3,239.0
43.70400405297843,-79.34807015078738,2,334.0
43.719632535237835,-79.33199950866776,1,88.0
43.70656159598004,-79.36781965092621,2,153.0
43.70518328279426,-79.34224729962946,1,207.0
43.70088225686968,-79.38736016665911,4,106.0
43.68688938028234,-79.40099513147447,3,27.0
43.63796,-79.387502,7,25.0
43.65484215542248,-79.40351232494366,2,156.0
43.6637,-79.400053,9,175.0
43.662857,-79.44618,5,199.0
43.788319,-79.123505,0,
43.643025055165865,-79.39430137761319,10,133.0
43.7482972,-79.47570569999999,3,103.0
43.63737145931921,-79.38976958703309,4,169.0
43.73673829262113,-79.48227195568086,1,504.0
43.753107,-79.479626,0,
43.7494501,-79.4869662,2,218.0
43.637695491830144,-79.42023184193503,3,183.0
43.64392767366328,-79.3687301736982,4,225.0
43.650033,-79.396555,6,267.0
43.639124514797004,-79.41423166721611,7,84.0
43.640978,-79.376785,7,36.0
43.658148,-79.398167,5,208.0
43.663162,-79.309765,9,158.0
43.67883,-79.408723,7,117.0
43.640132,-79.380464,10,77.0
43.6451635,-79.3831757,10,270.0
43.64817,-79.510392,0,
43.661324,-79.449534,3,282.0
43.66496415990742,-79.38355031526893,10,187.0
43.640741,-79.3798521,10,6.0
43.663102,-79.373181,7,142.0
43.6322445,-79.4108105,4,144.0
43.655103,-79.389295,4,303.0
43.6563888888889,-79.4091666666667,1,450.0
43.637894,-79.454823,3,471.0
43.6535269,-79.4650569,4,176.0
43.652686,-79.358395,9,288.0
43.666850777484896,-79.38114574756837,10,6.0
43.661152,-79.358505,5,105.0
43.659296,-79.358035,9,81.0
43.667158,-79.402761,9,57.0
43.69362206784152,-79.27710529695892,2,177.0
43.72704086366749,-79.24391402446746,0,
43.63735795888104,-79.43617975886079,4,306.0
43.73596719224253,-79.21995221481933,2,167.0
43.7154661,-79.2876595,1,165.0
43.642904395956684,-79.43746059447746,2,350.0
43.70688,-79.26850999999999,0,
43.697356080874876,-79.28528711019696,1,372.0
43.70960859570095,-79.39915125005619,6,236.0
43.71176278859601,-79.27028152889692,1,273.0
43.671771,-79.324961,2,387.0
43.7110442448186,-79.29127313845584,3,92.0
43.7032112,-79.2787149,2,409.0
43.7128578,-79.2487086,0,
43.7323277855009,-79.22496619876934,1,404.0
43.669821695059376,-79.39444614603269,5,175.0
43.72690169821676,-79.22920396582664,1,292.0
43.67794376009951,-79.39836278587889,9,55.0
43.64309687937765,-79.42875613770637,5,258.0
43.655350778457056,-79.38345966759798,5,168.0
43.6412561641921,-79.41502994047545,9,148.0
43.6476,-79.4015,7,153.0
43.6962750705313,-79.39629396191867,5,145.0
43.70430959999999,-79.3972815,2,276.0
43.69711160305226,-79.40537298227844,5,135.0
43.68370788065334,-79.32262453633884,3,150.0
43.64299174164139,-79.42355911563249,4,155.0
43.657275497390124,-79.32661544194183,1,150.0
43.68698672516659,-79.33478198280334,2,224.0
43.65922918158098,-79.44320901022282,3,238.0
43.71161098023304,-79.28055565662231,3,175.0
43.74531103700256,-79.20970650787817,0,
43.647259,-79.379878,10,105.0
43.67036917803197,-79.32782698645094,3,111.0
43.6458569,-79.3853654,10,174.0
43.6509552,-79.3707,9,64.0
43.649722,-79.416944,7,50.0
43.64570236705167,-79.41933192053696,6,245.0
43.66981064282057,-79.38801106873031,10,327.0
43.665278,-79.368333,4,280.0
43.6798678328407,-79.33424613862303,4,217.0
43.71602024377182,-79.3047092517501,0,
43.71101621552703,-79.30675743891624,0,
43.70751755961952,-79.30252066313936,0,
43.717678679534906,-79.29961580314475,1,75.0
43.6603874468082,-79.39537831814152,5,322.0
43.6352007,-79.4187711,5,346.0
43.6333523484014,-79.41436313073005,2,185.0
43.636804,-79.408832,6,294.0
43.781877158752955,-79.41528502874928,4,289.0
43.70925763810859,-79.44169105036657,3,359.0
43.70820992643782,-79.45627808717194,0,
43.70756436685646,-79.46571474966814,1,293.0
43.68402031135697,-79.45297885330353,1,237.0
43.766663817888656,-79.18521765344238,1,268.0
43.62052630763223,-79.48320224237995,4,234.0
43.59841926031898,-79.51561102394257,1,746.0
43.645389479325615,-79.5276822170925,4,230.0
43.645658591546216,-79.52339938954925,2,324.0
43.59445833196281,-79.53387390859834,3,44.0
43.62649329992186,-79.50358167641535,1,255.0
43.60191488118503,-79.49941888654288,3,115.0
43.64285244644315,-79.53199489206543,4,246.0
43.650945,-79.379498,10,33.0
43.70735572654095,-79.43723072209013,2,81.0
43.60116229109828,-79.50416046627045,4,315.0
43.650077,-79.391291,6,75.0
43.6460145694434,-79.39960497726345,10,137.0
43.688153079245126,-79.48219789940566,3,186.0
43.695498400279796,-79.48809394482672,1,175.0
43.698706949666914,-79.4756586460327,1,331.0
43.6743457123134,-79.4948437786083,4,33.0
43.668510906505354,-79.5007648392868,0,
43.678276306636576,-79.50667332401198,2,121.0
43.69143920681119,-79.46908634795456,0,
43.68189526215492,-79.4736382392868,1,288.0
43.7023860650084,-79.52594758324148,2,147.0
43.706191092397106,-79.53262795581969,3,30.0
43.68735514096443,-79.50623313806341,1,487.0
43.69144464414302,-79.50154583869246,1,511.0
43.70673804962302,-79.50477543802873,0,
43.69074600637147,-79.47820143344333,3,433.0
43.6501644,-79.48296909999999,1,313.0
43.74386580997666,-79.49181654358595,1,355.0
43.651922,-79.465693,4,24.0
43.646251,-79.46472,3,97.0
43.650154,-79.464934,5,184.0
43.72537884183677,-79.48719674218903,0,
43.755583971122874,-79.47446032684479,0,
43.702340220597975,-79.50347389514123,0,
43.665304278965365,-79.39938263802871,10,142.0
43.75919330632997,-79.49001046850891,0,
43.64643026333144,-79.3618163165329,6,268.0
43.66273618779861,-79.36253100740966,6,289.0
43.644395,-79.40065430000001,7,169.0
43.76073963892478,-79.5000273116394,2,237.0
43.74751496038769,-79.5132569853195,1,472.0
43.77086729028769,-79.49812990660705,0,
43.7063279,-79.3962499,3,194.0
43.6518918789007,-79.40577861712723,3,380.0
43.659221843735615,-79.44277410244676,3,273.0
43.75531728502427,-79.51704708227844,1,525.0
43.73262849415089,-79.5381993243286,1,441.0
43.7503016975738,-79.51577557434386,1,468.0
43.74931920634839,-79.5419939152054,1,226.0
